index,name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
51," Sb antimony",834,1594.9,2440,4260,5400,10400,,,,,,,,,,,,,,,,,,,,,,,,
52," Te tellurium",869.3,1790,2698,3610,5668,6820,13200,,,,,,,,,,,,,,,,,,,,,,,
53," I iodine",1008.4,1845.9,3180,,,,,,,,,,,,,,,,,,,,,,,,,,,
54," Xe xenon",1170.4,2046.4,3099.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
55," Cs caesium",375.7,2234.3,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,
56," Ba barium",502.9,965.2,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,
57," La lanthanum",538.1,1067,1850.3,4819,5940,,,,,,,,,,,,,,,,,,,,,,,,,
58," Ce cerium",534.4,1050,1949,3547,6325,7490,,,,,,,,,,,,,,,,,,,,,,,,
59," Pr praseodymium",527,1020,2086,3761,5551,,,,,,,,,,,,,,,,,,,,,,,,,
60," Nd neodymium",533.1,1040,2130,3900,,,,,,,,,,,,,,,,,,,,,,,,,,
61," Pm promethium",540,1050,2150,3970,,,,,,,,,,,,,,,,,,,,,,,,,,
62," Sm samarium",544.5,1070,2260,3990,,,,,,,,,,,,,,,,,,,,,,,,,,
63," Eu europium",547.1,1085,2404,4120,,,,,,,,,,,,,,,,,,,,,,,,,,
64," Gd gadolinium",593.4,1170,1990,4250,,,,,,,,,,,,,,,,,,,,,,,,,,
65," Tb terbium",565.8,1110,2114,3839,,,,,,,,,,,,,,,,,,,,,,,,,,
66," Dy dysprosium",573,1130,2200,3990,,,,,,,,,,,,,,,,,,,,,,,,,,
67," Ho holmium",581,1140,2204,4100,,,,,,,,,,,,,,,,,,,,,,,,,,
68," Er erbium",589.3,1150,2194,4120,,,,,,,,,,,,,,,,,,,,,,,,,,
69," Tm thulium",596.7,1160,2285,4120,,,,,,,,,,,,,,,,,,,,,,,,,,
70," Yb ytterbium",603.4,1174.8,2417,4203,,,,,,,,,,,,,,,,,,,,,,,,,,
71," Lu lutetium",523.5,1340,2022.3,4370,6445,,,,,,,,,,,,,,,,,,,,,,,,,
72," Hf hafnium",658.5,1440,2250,3216,,,,,,,,,,,,,,,,,,,,,,,,,,
73," Ta tantalum",761,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74," W tungsten",770,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75," Re rhenium",760,1260,2510,3640,,,,,,,,,,,,,,,,,,,,,,,,,,
76," Os osmium",840,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77," Ir iridium",880,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78," Pt platinum",870,1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79," Au gold",890.1,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80," Hg mercury",1007.1,1810,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,
81," Tl thallium",589.4,1971,2878,,,,,,,,,,,,,,,,,,,,,,,,,,,
82," Pb lead",715.6,1450.5,3081.5,4083,6640,,,,,,,,,,,,,,,,,,,,,,,,,
83," Bi bismuth",703,1610,2466,4370,5400,8520,,,,,,,,,,,,,,,,,,,,,,,,
84," Po polonium",812.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85," At astatine",899.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86," Rn radon",1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87," Fr francium",380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88," Ra radium",509.3,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89," Ac actinium",499,1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90," Th thorium",587,1110,1930,2780,,,,,,,,,,,,,,,,,,,,,,,,,,
91," Pa protactinium",568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92," U uranium",597.6,1420,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93," Np neptunium",604.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94," Pu plutonium",584.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95," Am americium",578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96," Cm curium",581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97," Bk berkelium",601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98," Cf californium",608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99," Es einsteinium",619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100," Fm fermium",627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101," Md mendelevium",635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102," No nobelium",642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103," Lr lawrencium",470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104," Rf rutherfordium",580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
