"Z","Symbol","Element","Origin of name","Group","Period","Atomic weight (u ±)","Density (g/cm3)","Melt (K) ","Boil (K)","C (J/gK)","χ","Abundance in Earth's crust (mg/kg) "
53,"I","Iodine","French *iode* after the Greek *ioeides*, 'violet'",17,5,126.904473,4.93,386.85,457.4,0.214,2.66,0.45
54,"Xe","Xenon","the Greek *xenos*, 'strange'",18,5,131.2936,0.005887,161.4,165.03,0.158,2.6,3.00E-05
55,"Cs","Caesium","the Latin *caesius*, 'sky blue'",1,6,132.905451966,1.873,301.59,944,0.242,0.79,3
56,"Ba","Barium","the Greek *barys*, 'heavy'",2,6,137.3277,3.594,1000,2170,0.204,0.89,425
57,"La","Lanthanum","the Greek *lanthanein*, 'to lie hidden'",3,6,138.905477,6.145,1193,3737,0.195,1.1,39
58,"Ce","Cerium","the then recently discovered asteroid Ceres, considered a planet at the time",,6,140.1161,6.77,1068,3716,0.192,1.12,66.5
59,"Pr","Praseodymium","the Greek *praseios didymos* meaning 'green twin'",,6,140.907662,6.773,1208,3793,0.193,1.13,9.2
60,"Nd","Neodymium","the Greek *neos didymos* meaning 'new twin'",,6,144.2423,7.007,1297,3347,0.19,1.14,41.5
61,"Pm","Promethium","Prometheus of Greek mythology who stole fire from the Gods and gave it to humans",,6,145,7.26,1315,3273,"None",1.13,2.00E-19
62,"Sm","Samarium","Samarskite, the name of the mineral from which it was first isolated",,6,150.362,7.52,1345,2067,0.197,1.17,7.05
63,"Eu","Europium","Europe",,6,151.9641,5.243,1099,1802,0.182,1.2,2
64,"Gd","Gadolinium","Johan Gadolin, chemist, physicist and mineralogist",,6,157.253,7.895,1585,3546,0.236,1.2,6.2
65,"Tb","Terbium","Ytterby, Sweden",,6,158.925352,8.229,1629,3503,0.182,1.2,1.2
66,"Dy","Dysprosium","the Greek *dysprositos*, 'hard to get'",,6,162.5001,8.55,1680,2840,0.17,1.22,5.2
67,"Ho","Holmium","*Holmia*, the New Latin name for Stockholm",,6,164.930332,8.795,1734,2993,0.165,1.23,1.3
68,"Er","Erbium","Ytterby, Sweden",,6,167.2593,9.066,1802,3141,0.168,1.24,3.5
69,"Tm","Thulium","Thule, the ancient name for Scandinavia",,6,168.934222,9.321,1818,2223,0.16,1.25,0.52
70,"Yb","Ytterbium","Ytterby, Sweden",,6,173.0451,6.965,1097,1469,0.155,1.1,3.2
71,"Lu","Lutetium","*Lutetia*, the Latin name for Paris",,6,174.96681,9.84,1925,3675,0.154,1.27,0.8
72,"Hf","Hafnium","*Hafnia*, the New Latin name for Copenhagen",4,6,178.492,13.31,2506,4876,0.144,1.3,3
73,"Ta","Tantalum","King Tantalus, father of Niobe from Greek mythology",5,6,180.947882,16.654,3290,5731,0.14,1.5,2
74,"W","Tungsten","the Swedish *tung sten*, 'heavy stone' W is *wolfram*, the old name of the tungsten mineral wolframite",6,6,183.841,19.25,3695,5828,0.132,2.36,1.3
75,"Re","Rhenium","*Rhenus*, the Latin name for the river Rhine",7,6,186.2071,21.02,3459,5869,0.137,1.9,7.00E-04
76,"Os","Osmium","the Greek *osmè*, meaning 'smell'",8,6,190.233,22.61,3306,5285,0.13,2.2,0.002
77,"Ir","Iridium","Iris, the Greek goddess of the rainbow",9,6,192.2173,22.56,2719,4701,0.131,2.2,0.001
78,"Pt","Platinum","the Spanish *platina*, meaning 'little silver'",10,6,195.0849,21.46,2041.4,4098,0.133,2.28,0.005
79,"Au","Gold","English word *aurum* in Latin",11,6,196.9665695,19.282,1337.33,3129,0.129,2.54,0.004
80,"Hg","Mercury","the New Latin name *mercurius*, named after the Roman god Hg from former name *hydrargyrum*, from Greek *hydr-*, 'water', and *argyros*, 'silver'",12,6,200.5923,13.5336,234.43,629.88,0.14,2,0.085
81,"Tl","Thallium","the Greek *thallos*, 'green twig'",13,6,204.38,11.85,577,1746,0.129,1.62,0.85
82,"Pb","Lead","English word *plumbum* in Latin",14,6,207.21,11.342,600.61,2022,0.129,1.87,14
83,"Bi","Bismuth","Uncertain, possibly Arabic or German",15,6,208.980401,9.807,544.7,1837,0.122,2.02,0.009
84,"Po","Polonium","Named after the home country of Marie Curie *Polonia*, Latin for Poland, who is also the discoverer of Radium",16,6,209,9.32,527,1235,"None",2,2.00E-10
85,"At","Astatine","the Greek *astatos*, 'unstable'",17,6,210,7,575,610,"None",2.2,3.00E-20
86,"Rn","Radon","From *radium*, as it was first detected as an emission from radium during radioactive decay",18,6,222,0.00973,202,211.3,0.094,2.2,4.00E-13
87,"Fr","Francium","*Francia*, the New Latin name for France",1,7,223,1.87,300,950,"None",0.7,1.00E-18
88,"Ra","Radium","the Latin *radius*, 'ray'",2,7,226,5.5,973,2010,0.094,0.9,9.00E-07
89,"Ac","Actinium","the Greek *aktis*, 'ray'",3,7,227,10.07,1323,3471,0.12,1.1,5.50E-10
90,"Th","Thorium","Thor, the Scandinavian god of thunder",,7,232.03774,11.72,2115,5061,0.113,1.3,9.6
91,"Pa","Protactinium","the Greek *protos*, 'first', and actinium, which is produced through the radioactive decay of protactinium",,7,231.035882,15.37,1841,4300,"None",1.5,1.40E-06
92,"U","Uranium","Uranus, the seventh planet in the Solar System",,7,238.028913,18.95,1405.3,4404,0.116,1.38,2.7
93,"Np","Neptunium","Neptune, the eighth planet in the Solar System",,7,237,20.45,917,4273,"None",1.36,3.00E-12
94,"Pu","Plutonium","Pluto, a dwarf planet in the Solar System then considered the ninth planet",,7,244,19.84,912.5,3501,"None",1.28,3.00E-11
95,"Am","Americium","The Americas, as the element was first synthesized on the continent, by analogy with europium",,7,243,13.69,1449,2880,"None",1.13,0
96,"Cm","Curium","Pierre Curie, a physicist, and Marie Curie, a physicist and chemist, named after great scientists by analogy with gadolinium",,7,247,13.51,1613,3383,"None",1.28,0
97,"Bk","Berkelium","Berkeley, California, where the element was first synthesized, by analogy with terbium",,7,247,14.79,1259,2900,"None",1.3,0
98,"Cf","Californium","California, where the element was first synthesized",,7,251,15.1,1173,1743,"None",1.3,0
99,"Es","Einsteinium","Albert Einstein, physicist",,7,252,8.84,1133,1269,"None",1.3,0
100,"Fm","Fermium","Enrico Fermi, physicist",,7,257,9.7,1125,"None","None",1.3,0
101,"Md","Mendelevium","Dmitri Mendeleev, chemist and inventor",,7,258,10.3,1100,"None","None",1.3,0
102,"No","Nobelium","Alfred Nobel, chemist, engineer, inventor of dynamite",,7,259,9.9,1100,"None","None",1.3,0
103,"Lr","Lawrencium","Ernest O. Lawrence, physicist",,7,266,15.6,1900,"None","None",1.3,0
104,"Rf","Rutherfordium","Ernest Rutherford, chemist and physicist",4,7,267,23.2,2400,5800,"None","None",0
105,"Db","Dubnium","Dubna, Russia",5,7,268,29.3,"None","None","None","None",0
106,"Sg","Seaborgium","Glenn T. Seaborg, scientist",6,7,269,35,"None","None","None","None",0
107,"Bh","Bohrium","Niels Bohr, physicist",7,7,270,37.1,"None","None","None","None",0
108,"Hs","Hassium","Hesse, Germany, where the element was first synthesized",8,7,277,40.7,"None","None","None","None",0
109,"Mt","Meitnerium","Lise Meitner, physicist",9,7,278,37.4,"None","None","None","None",0
110,"Ds","Darmstadtium","Darmstadt, Germany, where the element was first synthesized",10,7,281,34.8,"None","None","None","None",0
111,"Rg","Roentgenium","Wilhelm Conrad Röntgen, physicist",11,7,282,28.7,"None","None","None","None",0
112,"Cn","Copernicium","Nicolaus Copernicus, astronomer",12,7,285,23.7,"None",357,"None","None",0
113,"Nh","Nihonium","the Japanese name for Japan, *Nihon*, where the element was first synthesized",13,7,286,16,700,1400,"None","None",0
114,"Fl","Flerovium","Flerov Laboratory of Nuclear Reactions, part of JINR where the element was synthesized; itself named for Georgy Flyorov, physicist",14,7,289,14,"None",210,"None","None",0
115,"Mc","Moscovium","Moscow Oblast, Russia, where the element was first synthesized",15,7,290,13.5,700,1400,"None","None",0
116,"Lv","Livermorium","Lawrence Livermore National Laboratory in Livermore, California which collaborated with JINR on its synthesis",16,7,293,12.9,709,1085,"None","None",0
117,"Ts","Tennessine","Tennessee, United States",17,7,294,7.2,723,883,"None","None",0
118,"Og","Oganesson","Yuri Oganessian, physicist",18,7,294,5,"None",350,"None","None",0
