,,"S1","Y1","Y2"
85,"At astatine",0.000E+00,0.000E+00,0.000E+00
86,"Rn radon",0.000E+00,0.000E+00,0.000E+00
87,"Fr francium",0.000E+00,0.000E+00,0.000E+00
88,"Ra radium",0.000E+00,0.000E+00,0.000E+00
89,"Ac actinium",0.000E+00,0.000E+00,0.000E+00
90,"Th thorium",5.000E-08,4.500E-08,3.350E-08
91,"Pa protactinium",0.000E+00,0.000E+00,0.000E+00
92,"U uranium",0.000E+00,1.800E-08,9.000E-09
93,"Np neptunium",0.000E+00,0.000E+00,0.000E+00
94,"Pu plutonium",0.000E+00,0.000E+00,0.000E+00
